faculty_id,month,teaching_hours,ai_usage_hours,ai_dependency_ratio,student_avg_score,efficiency_score
1,Jan,39.28,25.27,0.64,77.64,53.89
1,Feb,38.79,27.2,0.7,80.23,57.37
1,Mar,37.14,33.82,0.91,87.91,69.28
1,Apr,37.59,32.01,0.85,81.16,66.02
1,May,37.61,31.94,0.85,82.9,65.9
1,Jun,38.33,29.07,0.76,77.94,60.73
1,Jul,38.83,27.07,0.7,78.37,57.12
1,Aug,42.24,13.41,0.32,75.01,40.0
1,Sep,38.85,27.0,0.69,73.6,56.99
1,Oct,37.31,33.16,0.89,87.13,68.08
1,Nov,41.16,17.75,0.43,77.87,40.35
1,Dec,38.8,27.18,0.7,82.69,57.33
2,Jan,40.69,19.81,0.49,75.78,45.46
2,Feb,40.22,21.71,0.54,81.16,48.87
2,Mar,37.18,33.84,0.91,81.83,70.72
2,Apr,41.1,18.18,0.44,81.22,42.53
2,May,37.55,32.38,0.86,81.35,68.09
2,Jun,40.06,22.34,0.56,76.67,50.02
2,Jul,39.7,23.76,0.6,75.65,52.57
2,Aug,40.53,20.44,0.5,77.36,46.59
2,Sep,37.88,31.04,0.82,83.06,65.67
2,Oct,41.55,16.39,0.39,73.25,40.0
2,Nov,38.72,27.68,0.71,80.39,59.62
2,Dec,37.08,34.25,0.92,83.18,71.44
3,Jan,37.42,29.72,0.79,85.26,67.49
3,Feb,36.45,33.6,0.92,85.56,74.48
3,Mar,40.66,16.75,0.41,74.16,44.14
3,Apr,36.87,31.92,0.87,80.43,71.46
3,May,41.36,13.95,0.34,76.65,40.0
3,Jun,38.88,23.89,0.61,77.7,57.0
3,Jul,37.09,31.03,0.84,84.7,69.85
3,Aug,37.3,30.2,0.81,87.63,68.36
3,Sep,42.1,11.01,0.26,77.99,40.0
3,Oct,40.06,19.18,0.48,75.09,48.52
3,Nov,39.92,19.74,0.49,76.0,49.53
3,Dec,40.13,18.87,0.47,78.97,47.97
4,Jan,37.29,32.83,0.88,85.08,61.89
4,Feb,42.09,13.64,0.32,75.17,40.0
4,Mar,43.0,10.03,0.23,72.89,40.0
4,Apr,38.08,29.69,0.78,68.85,56.25
4,May,40.74,19.06,0.47,80.11,40.0
4,Jun,40.66,19.37,0.48,74.11,40.0
4,Jul,42.48,12.09,0.28,74.87,40.0
4,Aug,39.85,22.63,0.57,77.13,43.53
4,Sep,41.29,16.86,0.41,73.43,40.0
4,Oct,42.39,12.45,0.29,72.97,40.0
4,Nov,42.78,10.88,0.25,71.24,40.0
4,Dec,42.12,13.54,0.32,71.43,40.0
5,Jan,34.7,30.01,0.86,77.99,65.22
5,Feb,34.43,31.08,0.9,80.98,67.15
5,Mar,35.74,25.85,0.72,78.78,57.74
5,Apr,34.67,30.12,0.87,86.05,65.41
5,May,34.52,30.71,0.89,79.89,66.49
5,Jun,39.31,11.56,0.29,71.51,40.0
5,Jul,39.24,11.86,0.3,77.99,40.0
5,Aug,36.64,22.23,0.61,79.27,51.21
5,Sep,35.07,28.53,0.81,78.52,62.56
5,Oct,34.44,31.05,0.9,81.1,67.09
5,Nov,35.36,27.35,0.77,75.05,60.43
5,Dec,37.31,19.55,0.52,81.83,46.39
6,Jan,36.5,14.12,0.39,82.78,40.0
6,Feb,33.63,25.58,0.76,82.98,55.84
6,Mar,33.21,27.27,0.82,78.93,58.88
6,Apr,36.83,12.79,0.35,80.69,40.0
6,May,36.98,12.18,0.33,74.68,40.0
6,Jun,32.57,29.81,0.92,80.92,63.46
6,Jul,31.65,33.51,1.06,77.93,70.13
6,Aug,33.96,24.28,0.72,78.11,53.51
6,Sep,36.69,13.34,0.36,74.96,40.0
6,Oct,33.91,24.47,0.72,71.63,53.84
6,Nov,31.76,33.08,1.04,82.03,69.34
6,Dec,35.45,18.31,0.52,82.88,42.76
7,Jan,35.27,23.19,0.66,83.17,57.14
7,Feb,35.58,21.94,0.62,80.71,54.89
7,Mar,35.74,21.27,0.6,77.63,53.69
7,Apr,35.26,23.21,0.66,77.66,57.18
7,May,33.68,29.53,0.88,82.73,68.56
7,Jun,35.36,22.81,0.65,82.66,56.46
7,Jul,33.1,31.85,0.96,85.23,72.73
7,Aug,36.11,19.81,0.55,75.97,51.05
7,Sep,34.43,26.51,0.77,83.1,63.12
7,Oct,37.92,12.57,0.33,70.63,40.0
7,Nov,33.96,28.41,0.84,84.74,66.54
7,Dec,38.27,11.15,0.29,73.67,40.0
8,Jan,38.4,19.57,0.51,71.45,42.22
8,Feb,39.98,13.27,0.33,72.26,40.0
8,Mar,35.31,31.95,0.9,83.29,64.5
8,Apr,38.37,19.69,0.51,74.76,42.45
8,May,40.74,10.22,0.25,77.15,40.0
8,Jun,37.56,22.93,0.61,73.94,48.27
8,Jul,39.33,15.87,0.4,75.2,40.0
8,Aug,35.9,29.59,0.82,80.03,60.26
8,Sep,37.48,23.26,0.62,75.56,48.87
8,Oct,36.49,27.22,0.75,79.27,55.99
8,Nov,40.78,10.08,0.25,73.54,40.0
8,Dec,39.14,16.63,0.42,77.65,40.0
9,Jan,38.18,13.16,0.34,75.12,40.5
9,Feb,37.91,14.23,0.38,72.29,42.42
9,Mar,35.07,25.59,0.73,85.2,62.85
9,Apr,32.73,34.94,1.07,87.68,79.69
9,May,38.39,12.3,0.32,75.03,40.0
9,Jun,36.14,21.31,0.59,74.36,55.15
9,Jul,32.75,34.86,1.06,82.24,79.54
9,Aug,34.38,28.34,0.82,85.38,67.81
9,Sep,35.91,22.24,0.62,78.05,56.83
9,Oct,33.51,31.82,0.95,80.91,74.08
9,Nov,37.42,16.18,0.43,74.28,45.93
9,Dec,35.6,23.46,0.66,77.46,59.03
10,Jan,41.68,34.87,0.84,80.9,69.06
10,Feb,42.27,32.51,0.77,83.67,64.82
10,Mar,42.05,33.39,0.79,82.45,66.4
10,Apr,43.67,26.9,0.62,81.78,54.72
10,May,44.35,24.19,0.55,77.61,49.85
10,Jun,47.1,13.17,0.28,72.48,40.0
10,Jul,42.05,33.38,0.79,75.39,66.39
10,Aug,43.77,26.48,0.6,79.53,53.96
10,Sep,45.96,17.75,0.39,76.52,40.0
10,Oct,43.4,27.97,0.64,78.0,56.64
10,Nov,42.86,30.15,0.7,76.28,60.57
10,Dec,44.07,25.3,0.57,76.33,51.84
11,Jan,34.99,28.74,0.82,82.73,62.24
11,Feb,38.41,15.06,0.39,68.3,40.0
11,Mar,36.2,23.91,0.66,82.95,53.54
11,Apr,38.83,13.39,0.34,79.21,40.0
11,May,36.19,23.96,0.66,74.9,53.63
11,Jun,36.25,23.72,0.65,80.37,53.2
11,Jul,33.84,33.36,0.99,82.69,70.56
11,Aug,37.43,19.0,0.51,78.42,44.71
11,Sep,39.08,12.39,0.32,68.96,40.0
11,Oct,37.78,17.58,0.47,73.35,42.14
11,Nov,35.69,25.96,0.73,77.18,57.23
11,Dec,37.28,19.61,0.53,74.69,45.8
12,Jan,43.41,12.67,0.29,74.57,40.0
12,Feb,42.35,16.9,0.4,76.83,42.32
12,Mar,37.91,34.66,0.91,82.63,74.29
12,Apr,38.97,30.42,0.78,83.48,66.65
12,May,39.26,29.25,0.74,85.85,64.55
12,Jun,38.16,33.68,0.88,79.83,72.52
12,Jul,43.05,14.1,0.33,75.97,40.0
12,Aug,40.43,24.6,0.61,80.98,56.17
12,Sep,40.25,25.29,0.63,78.57,57.42
12,Oct,39.85,26.91,0.68,80.08,60.34
12,Nov,41.38,20.78,0.5,76.68,49.3
12,Dec,39.66,27.65,0.7,81.21,61.66
13,Jan,40.65,26.76,0.66,79.64,59.36
13,Feb,40.71,26.5,0.65,81.35,58.9
13,Mar,43.82,14.06,0.32,73.42,40.0
13,Apr,41.98,21.43,0.51,78.19,49.77
13,May,41.91,21.71,0.52,75.15,50.28
13,Jun,40.91,25.72,0.63,82.45,57.49
13,Jul,43.0,17.35,0.4,80.19,42.43
13,Aug,39.61,30.92,0.78,79.98,66.86
13,Sep,38.67,34.68,0.9,92.24,73.62
13,Oct,43.07,17.09,0.4,81.41,41.96
13,Nov,44.05,13.13,0.3,75.91,40.0
13,Dec,42.62,18.86,0.44,74.43,45.14
14,Jan,44.37,22.33,0.5,78.41,45.1
14,Feb,43.51,25.77,0.59,81.42,51.28
14,Mar,42.04,31.65,0.75,83.16,61.87
14,Apr,44.99,19.82,0.44,78.24,40.58
14,May,45.57,17.51,0.38,77.75,40.0
14,Jun,41.4,34.2,0.83,80.38,66.47
14,Jul,43.23,26.88,0.62,80.47,53.28
14,Aug,42.96,27.95,0.65,82.03,55.2
14,Sep,43.14,27.26,0.63,77.88,53.96
14,Oct,43.34,26.45,0.61,76.76,52.52
14,Nov,44.74,20.85,0.47,71.45,42.43
14,Dec,42.86,28.34,0.66,76.75,55.91
15,Jan,43.3,17.69,0.41,75.64,40.0
15,Feb,42.27,21.83,0.52,79.25,46.29
15,Mar,42.16,22.26,0.53,79.37,47.07
15,Apr,44.5,12.92,0.29,71.95,40.0
15,May,40.35,29.53,0.73,77.46,60.15
15,Jun,44.1,14.5,0.33,81.03,40.0
15,Jul,39.2,34.12,0.87,80.86,68.42
15,Aug,38.98,34.98,0.9,85.01,69.97
15,Sep,39.84,31.57,0.79,83.35,63.82
15,Oct,39.28,33.79,0.86,75.57,67.83
15,Nov,42.35,21.51,0.51,72.28,45.72
15,Dec,41.1,26.5,0.64,80.03,54.69
16,Jan,38.95,21.41,0.55,79.14,52.53
16,Feb,39.54,19.08,0.48,79.27,48.35
16,Mar,40.68,14.49,0.36,72.21,40.08
16,Apr,39.31,19.99,0.51,74.97,49.97
16,May,38.18,24.49,0.64,77.94,58.09
16,Jun,39.47,19.34,0.49,73.04,48.81
16,Jul,37.01,29.2,0.79,81.12,66.55
16,Aug,39.84,17.87,0.45,72.84,46.16
16,Sep,39.09,20.86,0.53,75.54,51.55
16,Oct,38.91,21.59,0.55,79.74,52.86
16,Nov,36.15,32.62,0.9,83.27,72.71
16,Dec,38.0,25.23,0.66,80.18,59.42
17,Jan,48.76,12.24,0.25,73.67,40.0
17,Feb,44.88,27.76,0.62,82.05,54.87
17,Mar,43.43,33.56,0.77,80.24,65.31
17,Apr,46.72,20.43,0.44,82.43,41.67
17,May,48.09,14.93,0.31,71.93,40.0
17,Jun,43.53,33.18,0.76,77.5,64.63
17,Jul,44.56,29.07,0.65,78.57,57.22
17,Aug,47.95,15.48,0.32,75.59,40.0
17,Sep,45.13,26.79,0.59,74.92,53.12
17,Oct,45.76,24.24,0.53,74.74,48.53
17,Nov,46.35,21.9,0.47,77.06,44.32
17,Dec,47.09,18.93,0.4,75.93,40.0
18,Jan,31.38,34.59,1.1,82.07,69.96
18,Feb,32.37,30.62,0.95,81.04,62.82
18,Mar,35.02,20.0,0.57,73.59,43.71
18,Apr,32.48,30.16,0.93,76.81,61.99
18,May,33.19,27.32,0.82,79.1,56.87
18,Jun,32.39,30.52,0.94,79.11,62.63
18,Jul,32.03,31.96,1.0,86.63,65.23
18,Aug,36.66,13.44,0.37,74.78,40.0
18,Sep,37.14,11.53,0.31,69.86,40.0
18,Oct,36.93,12.39,0.34,76.78,40.0
18,Nov,31.85,32.71,1.03,81.23,66.58
18,Dec,34.61,21.65,0.63,75.88,46.67
19,Jan,36.38,19.44,0.53,74.98,43.39
19,Feb,37.43,15.25,0.41,75.73,40.0
19,Mar,35.11,24.54,0.7,76.38,52.57
19,Apr,36.92,17.28,0.47,77.08,40.0
19,May,35.67,22.28,0.62,79.22,48.5
19,Jun,38.14,12.41,0.33,75.72,40.0
19,Jul,37.2,16.18,0.43,76.78,40.0
19,Aug,34.92,25.26,0.72,83.63,53.87
19,Sep,35.78,21.85,0.61,73.31,47.72
19,Oct,35.71,22.14,0.62,79.16,48.25
19,Nov,38.24,12.0,0.31,79.35,40.0
19,Dec,38.33,11.63,0.3,73.1,40.0
20,Jan,41.66,16.88,0.41,70.62,43.69
20,Feb,39.31,26.29,0.67,82.01,60.62
20,Mar,38.55,29.33,0.76,78.75,66.09
20,Apr,42.6,13.11,0.31,75.98,40.0
20,May,42.17,14.82,0.35,75.32,40.0
20,Jun,37.7,32.73,0.87,87.47,72.22
20,Jul,43.06,11.3,0.26,80.14,40.0
20,Aug,38.7,28.71,0.74,86.62,64.97
20,Sep,38.32,30.23,0.79,81.4,67.71
20,Oct,40.11,23.09,0.58,76.76,54.87
20,Nov,42.38,14.01,0.33,73.71,40.0
20,Dec,37.96,31.67,0.83,81.72,70.31
21,Jan,40.75,18.36,0.45,72.2,40.0
21,Feb,37.43,31.64,0.85,80.58,60.45
21,Mar,38.24,28.43,0.74,78.65,54.67
21,Apr,37.53,31.27,0.83,79.18,59.79
21,May,42.0,13.39,0.32,73.76,40.0
21,Jun,39.95,21.59,0.54,73.18,42.36
21,Jul,42.03,13.25,0.32,76.59,40.0
21,Aug,39.0,25.37,0.65,76.93,49.16
21,Sep,42.52,11.28,0.27,70.31,40.0
21,Oct,38.59,27.02,0.7,84.32,52.13
21,Nov,41.12,16.89,0.41,76.76,40.0
21,Dec,41.1,16.97,0.41,76.91,40.0
22,Jan,42.15,24.49,0.58,79.18,46.19
22,Feb,41.84,25.7,0.61,78.52,48.37
22,Mar,40.03,32.96,0.82,84.63,61.44
22,Apr,44.71,14.22,0.32,75.22,40.0
22,May,43.83,17.75,0.4,75.09,40.0
22,Jun,45.67,10.38,0.23,71.36,40.0
22,Jul,44.5,15.08,0.34,79.53,40.0
22,Aug,40.15,32.46,0.81,77.75,60.52
22,Sep,43.99,17.1,0.39,78.68,40.0
22,Oct,41.17,28.4,0.69,79.84,53.22
22,Nov,41.77,26.0,0.62,79.61,48.9
22,Dec,44.34,15.7,0.35,76.32,40.0
23,Jan,39.91,22.93,0.57,78.76,47.58
23,Feb,39.94,22.79,0.57,80.54,47.32
23,Mar,38.5,28.56,0.74,80.21,57.7
23,Apr,37.79,31.41,0.83,87.76,62.83
23,May,37.8,31.36,0.83,81.1,62.76
23,Jun,41.69,15.81,0.38,81.26,40.0
23,Jul,37.42,32.88,0.88,78.46,65.48
23,Aug,43.04,10.4,0.24,72.98,40.0
23,Sep,41.1,18.17,0.44,72.82,40.0
23,Oct,41.38,17.04,0.41,77.82,40.0
23,Nov,39.16,25.92,0.66,78.9,52.96
23,Dec,41.63,16.04,0.39,76.04,40.0
24,Jan,42.61,15.47,0.36,77.85,40.0
24,Feb,41.72,19.04,0.46,78.58,46.17
24,Mar,40.37,24.41,0.6,81.44,55.85
24,Apr,43.07,13.62,0.32,73.15,40.0
24,May,39.15,29.29,0.75,84.07,64.62
24,Jun,39.93,26.19,0.66,77.24,59.04
24,Jul,43.16,13.27,0.31,72.93,40.0
24,Aug,42.46,16.05,0.38,76.3,40.79
24,Sep,40.23,24.97,0.62,75.98,56.85
24,Oct,40.31,24.65,0.61,82.4,56.28
24,Nov,38.27,32.84,0.86,84.25,71.01
24,Dec,42.54,15.76,0.37,72.8,40.27
25,Jan,45.73,13.0,0.28,75.47,40.0
25,Feb,42.4,26.36,0.62,85.4,62.15
25,Mar,43.82,20.64,0.47,77.71,51.86
25,Apr,45.69,13.19,0.29,73.19,40.0
25,May,40.26,34.88,0.87,81.85,77.49
25,Jun,43.88,20.42,0.47,82.58,51.46
25,Jul,42.51,25.91,0.61,80.36,61.34
25,Aug,41.23,31.04,0.75,84.07,70.56
25,Sep,41.5,29.92,0.72,82.1,68.56
25,Oct,43.98,20.03,0.46,79.65,50.76
25,Nov,42.21,27.11,0.64,80.33,63.5
25,Dec,42.6,25.54,0.6,81.26,60.66
26,Jan,42.07,13.98,0.33,79.65,40.0
26,Feb,41.07,17.98,0.44,73.97,40.0
26,Mar,40.33,20.93,0.52,76.29,44.68
26,Apr,38.34,28.9,0.75,80.91,59.01
26,May,41.96,14.41,0.34,78.3,40.0
26,Jun,38.02,30.16,0.79,76.49,61.28
26,Jul,40.71,19.4,0.48,79.14,41.93
26,Aug,42.09,13.9,0.33,75.1,40.0
26,Sep,39.58,23.93,0.6,81.31,50.07
26,Oct,37.54,32.09,0.85,84.83,64.76
26,Nov,41.75,15.27,0.37,79.3,40.0
26,Dec,42.13,13.74,0.33,77.25,40.0
27,Jan,43.2,18.06,0.42,80.49,41.61
27,Feb,42.51,20.83,0.49,78.6,46.59
27,Mar,41.54,24.69,0.59,82.48,53.55
27,Apr,42.07,22.61,0.54,74.94,49.79
27,May,41.78,23.74,0.57,75.73,51.83
27,Jun,44.78,11.76,0.26,75.33,40.0
27,Jul,39.47,33.0,0.84,79.81,68.49
27,Aug,39.5,32.86,0.83,85.43,68.24
27,Sep,39.25,33.86,0.86,83.32,70.05
27,Oct,39.84,31.51,0.79,78.35,65.83
27,Nov,44.76,11.82,0.26,76.84,40.0
27,Dec,44.92,11.19,0.25,73.74,40.0
28,Jan,34.86,28.48,0.82,78.82,54.07
28,Feb,35.02,27.81,0.79,80.96,52.86
28,Mar,33.84,32.54,0.96,80.49,61.37
28,Apr,38.25,14.93,0.39,72.08,40.0
28,May,34.63,29.37,0.85,77.96,55.67
28,Jun,36.33,22.6,0.62,74.29,43.49
28,Jul,35.8,24.71,0.69,77.43,47.28
28,Aug,38.35,14.5,0.38,74.86,40.0
28,Sep,37.81,16.65,0.44,74.61,40.0
28,Oct,34.55,29.72,0.86,83.28,56.29
28,Nov,39.38,10.41,0.26,72.72,40.0
28,Dec,39.38,10.37,0.26,79.1,40.0
29,Jan,33.58,34.65,1.03,79.65,77.77
29,Feb,37.53,18.86,0.5,78.25,49.35
29,Mar,34.8,29.76,0.85,84.07,68.96
29,Apr,38.97,13.1,0.34,73.91,40.0
29,May,35.72,26.08,0.73,81.93,62.34
29,Jun,36.52,22.9,0.63,75.02,56.63
29,Jul,35.77,25.88,0.72,81.1,61.99
29,Aug,39.47,11.08,0.28,74.59,40.0
29,Sep,34.54,30.79,0.89,81.66,70.82
29,Oct,38.13,16.43,0.43,75.12,44.97
29,Nov,39.25,11.97,0.31,74.93,40.0
29,Dec,35.94,25.2,0.7,82.02,60.76
30,Jan,41.12,29.63,0.72,76.16,56.14
30,Feb,40.71,31.26,0.77,79.37,59.07
30,Mar,40.1,33.68,0.84,77.57,63.42
30,Apr,41.2,29.3,0.71,78.91,55.54
30,May,40.26,33.06,0.82,77.48,62.31
30,Jun,43.27,21.0,0.49,75.1,40.6
30,Jul,45.36,12.67,0.28,78.76,40.0
30,Aug,45.1,13.7,0.3,75.89,40.0
30,Sep,41.41,28.47,0.69,80.83,54.05
30,Oct,42.14,25.54,0.61,73.28,48.77
30,Nov,40.24,33.14,0.82,79.04,62.45
30,Dec,42.81,22.87,0.53,76.5,43.97
31,Jan,40.58,19.6,0.48,76.07,44.38
31,Feb,37.65,31.35,0.83,80.23,65.54
31,Mar,42.39,12.37,0.29,76.56,40.0
31,Apr,36.89,34.39,0.93,89.93,71.0
31,May,38.13,29.4,0.77,80.45,62.02
31,Jun,37.09,33.57,0.91,80.44,69.53
31,Jul,37.98,30.01,0.79,79.08,63.11
31,Aug,40.38,20.43,0.51,75.37,45.87
31,Sep,41.88,14.41,0.34,75.91,40.0
31,Oct,40.0,21.93,0.55,76.16,48.58
31,Nov,37.11,33.5,0.9,74.93,69.4
31,Dec,38.88,26.43,0.68,76.63,56.68
32,Jan,40.55,20.5,0.51,76.45,52.3
32,Feb,40.35,21.29,0.53,73.91,53.72
32,Mar,38.38,29.19,0.76,83.94,67.94
32,Apr,42.56,12.46,0.29,81.12,40.0
32,May,41.88,15.17,0.36,78.67,42.71
32,Jun,38.01,30.65,0.81,87.32,70.57
32,Jul,40.07,22.44,0.56,82.66,55.8
32,Aug,37.49,32.74,0.87,80.81,74.33
32,Sep,41.69,15.97,0.38,80.59,44.14
32,Oct,42.73,11.78,0.28,77.61,40.0
32,Nov,42.11,14.26,0.34,74.66,41.08
32,Dec,40.52,20.63,0.51,80.42,52.54
33,Jan,33.79,33.74,1.0,84.02,74.04
33,Feb,34.44,31.15,0.9,83.54,69.37
33,Mar,38.35,15.51,0.4,78.1,41.22
33,Apr,35.16,28.27,0.8,81.11,64.18
33,May,38.1,16.52,0.43,77.0,43.03
33,Jun,36.14,24.34,0.67,76.26,57.11
33,Jul,35.23,27.98,0.79,82.89,63.66
33,Aug,36.05,24.69,0.68,74.78,57.73
33,Sep,38.76,13.88,0.36,77.69,40.0
33,Oct,35.83,25.59,0.71,74.54,59.36
33,Nov,37.88,17.4,0.46,78.98,44.62
33,Dec,37.56,18.68,0.5,78.09,46.93
34,Jan,36.09,29.09,0.81,80.16,60.76
34,Feb,35.54,31.29,0.88,91.22,64.73
34,Mar,39.59,15.11,0.38,77.17,40.0
34,Apr,36.36,28.03,0.77,84.4,58.85
34,May,38.31,20.23,0.53,74.69,44.81
34,Jun,40.19,12.71,0.32,76.32,40.0
34,Jul,39.25,16.47,0.42,73.61,40.0
34,Aug,39.21,16.61,0.42,75.62,40.0
34,Sep,40.15,12.86,0.32,76.68,40.0
34,Oct,39.97,13.59,0.34,76.93,40.0
34,Nov,36.16,28.82,0.8,75.4,60.28
34,Dec,39.15,16.86,0.43,73.73,40.0
35,Jan,40.62,22.09,0.54,76.77,44.67
35,Feb,40.4,22.97,0.57,76.18,46.25
35,Mar,40.85,21.17,0.52,77.87,43.0
35,Apr,42.94,12.81,0.3,71.4,40.0
35,May,43.16,11.94,0.28,76.73,40.0
35,Jun,37.42,34.92,0.93,79.93,67.76
35,Jul,39.28,27.49,0.7,77.3,54.38
35,Aug,38.51,30.54,0.79,82.89,59.88
35,Sep,39.5,26.57,0.67,83.45,52.73
35,Oct,40.49,22.64,0.56,76.99,45.66
35,Nov,37.9,32.97,0.87,85.01,64.24
35,Dec,40.61,22.14,0.55,74.91,44.75
36,Jan,38.58,20.88,0.54,79.29,41.09
36,Feb,35.99,31.22,0.87,80.39,59.7
36,Mar,36.76,28.16,0.77,75.71,54.19
36,Apr,36.61,28.76,0.79,75.12,55.27
36,May,39.67,16.52,0.42,81.51,40.0
36,Jun,35.61,32.74,0.92,84.2,62.42
36,Jul,41.1,10.79,0.26,73.43,40.0
36,Aug,39.84,15.8,0.4,78.92,40.0
36,Sep,39.3,17.98,0.46,71.47,40.0
36,Oct,41.04,11.03,0.27,73.37,40.0
36,Nov,40.2,14.4,0.36,72.79,40.0
36,Dec,40.02,15.09,0.38,73.59,40.0
37,Jan,36.52,20.13,0.55,80.29,43.93
37,Feb,33.01,34.17,1.03,84.59,69.2
37,Mar,37.18,17.48,0.47,74.71,40.0
37,Apr,36.55,20.02,0.55,78.9,43.73
37,May,35.4,24.61,0.7,71.32,51.99
37,Jun,37.5,16.2,0.43,74.95,40.0
37,Jul,39.01,10.18,0.26,79.38,40.0
37,Aug,35.36,24.78,0.7,76.15,52.31
37,Sep,38.82,10.95,0.28,77.31,40.0
37,Oct,34.01,30.18,0.89,79.98,62.02
37,Nov,33.17,33.54,1.01,83.66,68.06
37,Dec,35.0,26.22,0.75,79.37,54.9
38,Jan,38.92,10.7,0.27,75.88,40.0
38,Feb,38.69,11.64,0.3,71.73,40.0
38,Mar,36.22,21.53,0.59,78.76,54.15
38,Apr,33.13,33.87,1.02,83.78,76.36
38,May,36.7,19.61,0.53,72.02,50.69
38,Jun,35.16,25.75,0.73,78.58,61.74
38,Jul,33.73,31.47,0.93,80.65,72.04
38,Aug,34.03,30.28,0.89,84.46,69.91
38,Sep,36.23,21.49,0.59,80.63,54.07
38,Oct,34.54,28.22,0.82,79.06,66.2
38,Nov,36.64,19.83,0.54,77.07,51.1
38,Dec,38.11,13.97,0.37,70.48,40.54
39,Jan,36.21,24.98,0.69,77.93,61.76
39,Feb,37.69,19.04,0.51,78.1,51.07
39,Mar,34.2,32.99,0.96,89.69,76.18
39,Apr,39.38,12.28,0.31,78.33,40.0
39,May,34.01,33.77,0.99,88.02,77.58
39,Jun,37.63,19.29,0.51,75.19,51.52
39,Jul,38.29,16.63,0.43,75.09,46.74
39,Aug,36.81,22.55,0.61,77.83,57.39
39,Sep,38.96,13.94,0.36,77.85,41.9
39,Oct,38.25,16.8,0.44,75.61,47.05
39,Nov,38.41,16.17,0.42,78.72,45.91
39,Dec,34.29,32.63,0.95,83.94,75.54
40,Jan,41.13,10.07,0.24,77.57,40.0
40,Feb,39.78,15.47,0.39,78.92,40.0
40,Mar,35.91,30.95,0.86,78.2,58.51
40,Apr,38.16,21.94,0.57,77.14,42.29
40,May,39.5,16.59,0.42,70.79,40.0
40,Jun,39.55,16.38,0.41,73.75,40.0
40,Jul,41.11,10.14,0.25,76.11,40.0
40,Aug,39.04,18.42,0.47,80.66,40.0
40,Sep,36.26,29.53,0.81,78.74,55.95
40,Oct,37.0,26.59,0.72,82.13,50.66
40,Nov,39.45,16.79,0.43,78.4,40.0
40,Dec,38.75,19.56,0.5,73.11,40.0
